Number,Count,Percentage
15,56,6.120218579234972
16,18,1.9672131147540983
25,22,2.4043715846994536
12,45,4.918032786885246
20,19,2.0765027322404372
21,16,1.7486338797814207
11,51,5.573770491803279
14,45,4.918032786885246
22,28,3.060109289617486
4,50,5.46448087431694
3,46,5.027322404371585
24,25,2.73224043715847
8,38,4.1530054644808745
13,44,4.808743169398907
9,55,6.0109289617486334
10,56,6.120218579234972
17,22,2.4043715846994536
2,42,4.590163934426229
23,15,1.639344262295082
18,21,2.2950819672131146
5,37,4.043715846994536
19,21,2.2950819672131146
1,47,5.136612021857924
6,47,5.136612021857924
7,49,5.355191256830601
