Number,Count,Percentage
14,20,4.040404040404041
15,20,4.040404040404041
16,18,3.6363636363636362
25,22,4.444444444444445
12,18,3.6363636363636362
20,19,3.8383838383838382
21,16,3.2323232323232323
11,26,5.252525252525253
22,28,5.656565656565657
4,23,4.646464646464646
3,16,3.2323232323232323
24,25,5.05050505050505
8,15,3.0303030303030303
13,21,4.242424242424242
9,24,4.848484848484849
10,24,4.848484848484849
17,22,4.444444444444445
2,17,3.4343434343434343
23,15,3.0303030303030303
18,21,4.242424242424242
5,17,3.4343434343434343
19,21,4.242424242424242
1,18,3.6363636363636362
6,16,3.2323232323232323
7,13,2.6262626262626263
