Number,Count,Percentage
15,77,3.9588688946015425
16,36,1.8508997429305913
25,44,2.2622107969151672
12,66,3.3933161953727504
20,45,2.3136246786632393
21,45,2.3136246786632393
11,73,3.7532133676092543
14,61,3.1362467866323906
22,49,2.519280205655527
4,74,3.8046272493573263
3,68,3.4961439588688945
24,49,2.519280205655527
8,60,3.0848329048843186
13,70,3.5989717223650386
9,80,4.113110539845758
10,80,4.113110539845758
17,41,2.107969151670951
2,64,3.290488431876607
23,32,1.6452442159383034
18,37,1.9023136246786632
5,56,2.879177377892031
19,45,2.3136246786632393
1,70,3.5989717223650386
6,69,3.5475578406169666
7,74,3.8046272493573263
46,20,1.0282776349614395
38,30,1.5424164524421593
33,23,1.1825192802056554
34,29,1.4910025706940875
31,21,1.0796915167095116
28,15,0.7712082262210797
37,18,0.9254498714652957
40,22,1.1311053984575836
41,21,1.0796915167095116
39,22,1.1311053984575836
42,26,1.3367609254498716
30,21,1.0796915167095116
26,20,1.0282776349614395
36,34,1.7480719794344473
43,16,0.8226221079691517
35,25,1.2853470437017995
44,25,1.2853470437017995
29,22,1.1311053984575836
32,14,0.7197943444730077
27,19,0.9768637532133676
45,22,1.1311053984575836
47,3,0.15424164524421594
50,2,0.10282776349614396
48,1,0.05141388174807198
52,4,0.20565552699228792
49,5,0.2570694087403599
