Number,Count,Percentage
7,76,1.6612021857923498
29,72,1.5737704918032787
60,56,1.2240437158469946
63,57,1.2459016393442623
66,64,1.3989071038251366
14,76,1.6612021857923498
40,56,1.2240437158469946
64,63,1.3770491803278688
2,64,1.3989071038251366
31,88,1.9234972677595628
32,58,1.2677595628415301
37,64,1.3989071038251366
70,60,1.3114754098360655
8,71,1.5519125683060109
20,80,1.7486338797814207
26,69,1.5081967213114753
53,70,1.530054644808743
4,68,1.4863387978142077
10,73,1.5956284153005464
45,62,1.355191256830601
36,52,1.1366120218579234
61,54,1.180327868852459
62,69,1.5081967213114753
69,55,1.2021857923497268
27,64,1.3989071038251366
50,59,1.289617486338798
51,59,1.289617486338798
1,56,1.2240437158469946
38,68,1.4863387978142077
12,58,1.2677595628415301
21,56,1.2240437158469946
43,60,1.3114754098360655
55,43,0.9398907103825137
11,77,1.6830601092896176
25,75,1.639344262295082
56,71,1.5519125683060109
13,56,1.2240437158469946
18,63,1.3770491803278688
42,65,1.4207650273224044
30,63,1.3770491803278688
58,74,1.6174863387978142
3,71,1.5519125683060109
34,67,1.46448087431694
41,69,1.5081967213114753
16,61,1.3333333333333333
22,60,1.3114754098360655
48,64,1.3989071038251366
59,60,1.3114754098360655
6,59,1.289617486338798
15,61,1.3333333333333333
54,59,1.289617486338798
5,52,1.1366120218579234
68,65,1.4207650273224044
33,67,1.46448087431694
24,70,1.530054644808743
65,50,1.092896174863388
44,71,1.5519125683060109
19,58,1.2677595628415301
52,56,1.2240437158469946
35,63,1.3770491803278688
57,62,1.355191256830601
9,58,1.2677595628415301
49,62,1.355191256830601
46,69,1.5081967213114753
28,71,1.5519125683060109
47,58,1.2677595628415301
17,82,1.7923497267759563
39,62,1.355191256830601
23,52,1.1366120218579234
67,44,0.9617486338797814
73,31,0.6775956284153005
74,30,0.6557377049180327
75,25,0.546448087431694
72,20,0.4371584699453552
71,22,0.4808743169398907
