Number,Count,Percentage
13,32,1.292929292929293
36,28,1.1313131313131313
45,28,1.1313131313131313
57,35,1.4141414141414141
67,28,1.1313131313131313
7,44,1.7777777777777777
29,35,1.4141414141414141
60,34,1.3737373737373737
63,32,1.292929292929293
66,33,1.3333333333333333
14,47,1.898989898989899
40,36,1.4545454545454546
64,41,1.6565656565656566
2,31,1.2525252525252526
31,46,1.8585858585858586
32,35,1.4141414141414141
37,35,1.4141414141414141
70,38,1.5353535353535352
8,43,1.7373737373737375
20,42,1.696969696969697
26,36,1.4545454545454546
53,39,1.5757575757575757
4,44,1.7777777777777777
10,47,1.898989898989899
61,34,1.3737373737373737
62,42,1.696969696969697
69,29,1.1717171717171717
27,37,1.494949494949495
50,26,1.0505050505050506
51,21,0.8484848484848485
1,34,1.3737373737373737
38,40,1.6161616161616161
12,30,1.2121212121212122
21,29,1.1717171717171717
43,42,1.696969696969697
55,25,1.0101010101010102
11,43,1.7373737373737375
25,38,1.5353535353535352
56,39,1.5757575757575757
18,34,1.3737373737373737
42,41,1.6565656565656566
30,34,1.3737373737373737
58,42,1.696969696969697
3,42,1.696969696969697
34,39,1.5757575757575757
41,32,1.292929292929293
16,34,1.3737373737373737
22,37,1.494949494949495
48,42,1.696969696969697
59,36,1.4545454545454546
6,32,1.292929292929293
15,39,1.5757575757575757
54,30,1.2121212121212122
5,26,1.0505050505050506
68,35,1.4141414141414141
33,33,1.3333333333333333
24,38,1.5353535353535352
65,27,1.0909090909090908
44,40,1.6161616161616161
19,34,1.3737373737373737
52,31,1.2525252525252526
35,25,1.0101010101010102
9,32,1.292929292929293
49,25,1.0101010101010102
46,40,1.6161616161616161
28,37,1.494949494949495
47,31,1.2525252525252526
17,48,1.9393939393939394
39,34,1.3737373737373737
23,27,1.0909090909090908
