Number,Count,Percentage
7,166,1.7069408740359897
29,164,1.686375321336761
60,56,0.5758354755784062
63,57,0.5861182519280206
66,64,0.6580976863753213
14,181,1.8611825192802056
40,147,1.5115681233933163
64,63,0.6478149100257069
2,168,1.7275064267352185
31,183,1.8817480719794344
32,151,1.5526992287917738
37,143,1.4704370179948587
70,60,0.6169665809768637
8,157,1.6143958868894601
20,180,1.8508997429305913
26,142,1.4601542416452442
53,159,1.634961439588689
4,167,1.7172236503856042
10,179,1.8406169665809768
45,154,1.583547557840617
36,158,1.6246786632390746
61,54,0.5552699228791774
62,69,0.7095115681233933
69,55,0.5655526992287918
27,159,1.634961439588689
50,157,1.6143958868894601
51,165,1.6966580976863752
1,139,1.429305912596401
38,169,1.737789203084833
12,159,1.634961439588689
21,151,1.5526992287917738
43,147,1.5115681233933163
55,109,1.1208226221079691
11,168,1.7275064267352185
25,174,1.7892030848329048
56,144,1.480719794344473
13,153,1.5732647814910026
18,161,1.6555269922879177
42,157,1.6143958868894601
30,152,1.562982005141388
58,74,0.7609254498714653
3,164,1.686375321336761
34,148,1.5218508997429305
41,149,1.532133676092545
16,152,1.562982005141388
22,154,1.583547557840617
48,176,1.8097686375321336
59,60,0.6169665809768637
6,145,1.4910025706940875
15,151,1.5526992287917738
54,129,1.326478149100257
5,148,1.5218508997429305
68,65,0.6683804627249358
33,143,1.4704370179948587
24,169,1.737789203084833
65,50,0.5141388174807198
44,160,1.6452442159383034
19,145,1.4910025706940875
52,153,1.5732647814910026
35,159,1.634961439588689
57,62,0.6375321336760925
9,155,1.5938303341902313
49,145,1.4910025706940875
46,171,1.7583547557840618
28,159,1.634961439588689
47,132,1.3573264781491003
17,187,1.922879177377892
39,172,1.768637532133676
23,135,1.3881748071979434
67,44,0.4524421593830334
73,31,0.31876606683804626
74,30,0.30848329048843187
75,25,0.2570694087403599
72,20,0.20565552699228792
71,22,0.2262210796915167
